image_id,is_work_ollama
2357914,Work
2336179,Work
2413958,Work
2323563,Work
2363056,Not Work
2363300,Not Work
2370005,Work
2399351,Not Work
2316521,Work
2409850,Work
2394502,Work
2343106,Work
2363656,Work
2343026,Work
2368967,Not Work
2358159,Work
2339200,Work
2323265,Work
713311,Work
2381975,Work
2334878,Work
2382806,Work
2358081,Work
2397094,Work
2370203,Work
1159825,Work
2326388,Work
1159889,Work
2389365,Work
2370169,Not Work
2403534,Work
2360820,Work
2339468,Work
2340520,Not Work
2375823,Work
2373424,Not Work
2373526,Not Work
2384114,Not Work
3604,Not Work
2393654,Work
2405744,Work
1032,Work
2358612,Work
2340716,Work
2344249,Work
2363892,Work
2316320,Work
2400701,Work
2337160,Not Work
2322138,Work
2396296,Work
2417168,Work
2375580,Work
2415419,Work
2365965,Work
1138,Work
2401877,Not Work
713180,Work
2352262,Work
2330790,Work
2373659,Work
2341818,Not Work
2398513,Work
2417672,Work
2336267,Work
2414143,Work
2390646,Work
2405621,Work
2379501,Not Work
2921,Not Work
2338394,Work
2391895,Work
2327351,Work
2410362,Work
2343129,Not Work
713814,Work
2351733,Work
2375523,Work
2833,Work
2377931,Not Work
2393478,Work
2408442,Work
2347066,Work
2379312,Work
2403269,Work
2367969,Work
1159839,Work
2329842,Work
2389827,Work
2412780,Work
2342105,Not Work
2336209,Work
2339551,Work
2414869,Not Work
2339647,Work
2388311,Work
2339525,Not Work
3474,Work
2384561,Work
2374028,Work
2344992,Work
2367177,Work
2379820,Work
2372958,Work
2406175,Work
2362824,Work
2361732,Not Work
2346095,Work
2346263,Work
2406898,Work
2330136,Work
2384746,Work
2341203,Not Work
2317114,Work
2320158,Work
2318139,Work
2348718,Not Work
2395152,Work
2410260,Work
2354311,Not Work
2362340,Work
2412374,Work
2332153,Work
2347818,Work
2349420,Work
2382857,Work
1159495,Work
498398,Work
2353660,Work
1159790,Work
2393528,Work
2343481,Work
2352402,Work
2384486,Work
2341298,Work
2413482,Work
2376265,Work
2358309,Not Work
2357477,Not Work
3280,Work
2327030,Not Work
2358105,Work
2368508,Work
2325423,Work
2353617,Work
2373435,Not Work
2353116,Not Work
2415686,Work
2357589,Work
2319720,Work
3586,Work
2412411,Work
2375178,Work
1593260,Not Work
2367864,Work
2403713,Work
2399735,Work
2337458,Work
2380080,Not Work
2406557,Work
2369185,Work
2381616,Work
2382553,Work
2348476,Not Work
2413734,Work
2411375,Work
2334558,Work
2358436,Not Work
2319723,Not Work
498271,Work
2376438,Work
150359,Work
2320729,Work
2399026,Not Work
2368937,Work
2416175,Work
150386,Work
2387663,Work
2324131,Not Work
2337125,Work
2386102,Work
2339752,Work
2408203,Work
2350426,Work
2405503,Work
2393556,Not Work
2373834,Not Work
2382855,Work
2343044,Work
340,Work
2362557,Work
2318576,Work
2366461,Work
2406076,Work
2345874,Work
2393200,Work
1159324,Work
2360783,Not Work
2380113,Work
2373738,Work
2329800,Work
2415375,Work
2404548,Work
2385720,Work
498053,Not Work
2334993,Work
498117,Work
2340971,Work
2414754,Work
2380396,Not Work
2352773,Work
2413159,Work
2367887,Work
2387880,Not Work
2402423,Work
2339707,Work
2351035,Not Work
2363154,Work
921,Work
2327674,Work
2366835,Not Work
2351551,Work
2412551,Work
2317336,Work
2390589,Work
2406113,Not Work
2329862,Work
2329965,Work
2389148,Work
2381690,Work
1591947,Work
2386284,Work
2380509,Work
2319594,Not Work
2395758,Work
2408038,Work
2322616,Not Work
2327240,Work
2368914,Not Work
2375676,Work
2417080,Work
2343433,Work
2358827,Not Work
4103,Work
2404727,Work
2378160,Work
2358485,Work
341,Work
2334158,Work
2398055,Work
2343895,Work
1842,Work
2370272,Work
2367399,Work
2317367,Work
2336217,Work
2323505,Work
2324387,Work
1711,Work
2368579,Work
2412875,Work
2326896,Not Work
2323595,Work
2376518,Work
2354323,Work
2379984,Work
2336516,Work
2391848,Work
2326320,Work
2317419,Work
2417981,Work
2321962,Work
2409396,Work
2342855,Work
2393002,Work
2340185,Work
2361302,Work
2344095,Work
2316518,Work
2390580,Not Work
2388258,Work
2409165,Work
2402444,Work
2332932,Work
2408229,Work
2405560,Work
2398125,Not Work
2401066,Work
713266,Work
2399587,Not Work
2347963,Work
2346123,Not Work
2378365,Work
2366661,Work
2383585,Work
2365988,Work
2326796,Work
2401171,Work
2319384,Work
2317448,Work
2318245,Work
2330263,Work
713567,Work
2337241,Work
2403840,Work
2411163,Work
2832,Work
2398258,Work
2412602,Work
2403419,Work
61533,Work
2404617,Work
2341974,Work
2387457,Work
2383543,Work
2396421,Work
2387215,Work
2399965,Work
2413909,Work
2417309,Not Work
2332619,Work
2371472,Work
2350438,Work
2326663,Work
2405416,Not Work
2325781,Work
2400749,Not Work
2339619,Not Work
2396873,Not Work
2321252,Work
2321390,Work
2375706,Work
150487,Work
2315562,Work
2329807,Work
2332937,Work
443,Work
2317550,Work
2369117,Work
2354237,Work
2406248,Work
2410710,Work
285615,Work
2413967,Not Work
1593177,Work
2371317,Work
2399408,Work
2356265,Work
2328966,Not Work
2322065,Work
2381641,Not Work
2377304,Work
2381691,Work
2367463,Work
2389786,Work
2334043,Work
2994,Work
2325044,Work
2354288,Work
2341232,Work
449,Work
2396864,Work
2414471,Work
2397913,Work
2319882,Work
2381227,Work
2377407,Work
2351799,Work
2407201,Work
2404540,Work
2394866,Work
2376141,Work
2382054,Work
2365987,Not Work
2368577,Not Work
2395737,Work
2387377,Work
2406936,Work
2360417,Work
2402893,Work
2381491,Work
2400455,Work
413,Work
2412991,Work
2323655,Work
2413305,Not Work
2358678,Work
2381312,Work
2355575,Work
2340442,Work
2341927,Work
2380049,Work
2346112,Work
2354549,Not Work
2404880,Work
2396589,Work
2363819,Work
2319,Work
2340567,Work
2352645,Work
2370541,Work
2359263,Work
2350098,Work
2370605,Work
2410295,Work
2338894,Work
2351030,Work
2327870,Work
2322328,Work
2398787,Not Work
1160184,Work
2348024,Work
2367077,Work
2415109,Work
346,Work
2373107,Work
2393103,Work
2340246,Work
2331951,Work
2335901,Work
2388188,Work
2415271,Work
2351512,Work
2323254,Not Work
2357274,Work
2404651,Work
2390714,Work
713873,Work
2381442,Not Work
2297,Work
2348998,Work
2360999,Work
2406458,Work
2363646,Work
1159748,Work
2409472,Work
2348555,Work
2360027,Work
2349529,Work
2409483,Work
2415135,Not Work
498071,Work
2325577,Work
2391477,Work
2381011,Work
2382511,Work
2389650,Work
2246,Not Work
994,Work
2388390,Work
2370301,Not Work
3198,Work
2317034,Work
2415153,Work
2404164,Work
2370891,Work
2326815,Work
2413106,Work
285901,Work
2409993,Work
2361023,Not Work
2356034,Work
2335516,Work
2320299,Work
2370156,Work
2323322,Not Work
2377153,Work
2386309,Work
2407665,Work
2358226,Work
2390578,Work
2406743,Work
2345003,Work
285726,Work
2398050,Work
2379790,Work
2400660,Not Work
2396274,Work
2326577,Work
2412331,Work
2411987,Work
2392246,Work
2355110,Work
2386513,Work
2344677,Not Work
2414611,Work
2350716,Work
2369915,Work
4482,Work
498072,Not Work
2391932,Not Work
2384826,Work
2355891,Work
2316156,Not Work
2403348,Work
2329679,Work
2391322,Work
2332940,Not Work
2357670,Work
2372264,Work
2368263,Work
2384012,Work
2378239,Work
2337197,Work
2375554,Not Work
2390406,Work
2319300,Work
2315814,Work
2334666,Work
2316082,Work
3469,Work
2397531,Work
2385765,Work
2398576,Work
2395761,Work
150291,Not Work
2413819,Work
2352770,Work
2395344,Work
2388389,Not Work
1159443,Work
2381280,Not Work
2373968,Work
713365,Not Work
2405893,Work
2342164,Work
2360855,Work
2349297,Work
2357940,Work
2337927,Not Work
2321956,Work
2325990,Work
2406976,Work
2341306,Work
2388903,Not Work
1018,Work
2318302,Not Work
2340245,Not Work
2336905,Work
2323587,Work
2405293,Work
2338845,Work
2409110,Work
1591987,Work
2397046,Not Work
2376128,Work
2406490,Work
2373292,Work
2399798,Work
2322253,Work
150444,Work
2411544,Not Work
2331225,Work
2394937,Work
2362949,Not Work
2374020,Not Work
2364950,Work
2350372,Work
2398941,Work
2370461,Work
2351935,Work
2328187,Work
2402353,Work
2386700,Not Work
2381511,Work
2338539,Work
2415817,Not Work
2399811,Work
2376647,Work
2329922,Work
2327832,Not Work
2372215,Work
2392545,Not Work
2348667,Work
2389643,Work
2333570,Work
2350174,Work
1592689,Work
2354870,Work
2385962,Not Work
2348345,Work
2410692,Work
2321146,Work
2377170,Work
2341775,Work
2353772,Work
2356947,Work
2328003,Work
2334451,Not Work
2344000,Work
2417212,Work
2347134,Work
2413545,Work
2381570,Work
2394360,Work
2361923,Work
2412460,Work
2390546,Work
2333517,Work
1592926,Work
2334549,Work
2361295,Work
2322375,Not Work
2395236,Work
2315367,Work
2375468,Not Work
2330078,Work
2405598,Work
2326067,Work
2394184,Work
2397090,Work
2385722,Not Work
2361898,Work
2400992,Work
2367065,Work
2331302,Work
2400751,Work
2370863,Work
2409946,Work
2350496,Not Work
2322256,Work
2385972,Work
1591882,Not Work
2375046,Work
713883,Work
2402275,Work
2368070,Work
2370925,Work
2384907,Work
2327521,Work
2377268,Work
2332175,Work
2333095,Work
2374403,Work
4450,Work
2395135,Work
2337588,Work
2315460,Work
2337724,Work
2372674,Work
1159723,Work
2387662,Work
2405090,Work
2384274,Work
2398585,Not Work
2342821,Work
2409979,Work
1593151,Work
2392302,Not Work
2335761,Work
1591861,Work
2412555,Work
2353106,Not Work
2380754,Work
2332213,Not Work
2342218,Work
2348187,Work
2332124,Work
2375606,Not Work
597,Work
2401410,Work
2354198,Work
2326661,Work
2365633,Not Work
2347123,Work
2331061,Work
2393402,Work
2374298,Not Work
2402371,Work
2318916,Work
2411906,Work
2380893,Work
2390788,Work
2324480,Work
2320518,Work
2412427,Not Work
2367743,Work
2400721,Work
2344275,Work
2416015,Not Work
2333725,Work
2335484,Work
2328044,Work
2390340,Not Work
1593009,Work
2374397,Work
2377518,Work
2324558,Work
2341470,Work
2386555,Work
2356916,Work
2367717,Work
1592203,Work
2365078,Work
2411477,Work
2417196,Work
2380609,Work
2383647,Work
2376024,Not Work
4496,Not Work
2375505,Work
2398556,Not Work
2392881,Work
2386022,Not Work
2387765,Not Work
172,Work
2386322,Not Work
2395940,Work
2385242,Not Work
2377515,Work
2398340,Work
2339398,Work
2416106,Work
2389221,Work
2376561,Work
285761,Work
2404098,Work
2380266,Work
2374662,Work
2403341,Work
2408162,Work
2350914,Work
2394531,Work
2376640,Work
1160086,Work
2341111,Work
2382636,Work
2394757,Work
2330451,Work
2355804,Work
2322794,Work
2328504,Work
2361839,Work
4216,Work
2373844,Not Work
2389829,Work
2335186,Work
107954,Work
2378346,Work
2406009,Work
2387155,Work
2386233,Work
2321931,Work
2415658,Work
2389335,Not Work
2413388,Work
2378704,Work
2355939,Work
2330251,Not Work
2400028,Work
2346855,Work
1592368,Work
2392403,Not Work
1160073,Work
2405670,Not Work
285805,Not Work
2367771,Work
2383197,Work
2396387,Work
2337457,Work
2406235,Work
2344146,Work
2332434,Not Work
2357030,Work
2388681,Work
2353759,Work
2322207,Work
2317622,Work
2367474,Not Work
2416817,Work
2371839,Work
2375620,Work
2325866,Work
2382755,Not Work
2353841,Work
2397799,Work
2322604,Not Work
2327124,Work
2407633,Work
2361138,Work
2355025,Work
2416573,Work
150362,Work
2417172,Work
2334442,Work
2385458,Work
2388869,Not Work
2392841,Not Work
2323449,Work
2347750,Work
2330191,Work
3202,Work
2334070,Work
2416063,Work
2352540,Work
721,Work
2327048,Work
2395936,Work
2345230,Work
2325096,Not Work
2351210,Not Work
2321879,Work
2344716,Work
2363199,Work
2378812,Work
2367820,Not Work
2386352,Work
2327698,Not Work
2367196,Work
2335446,Work
2393101,Work
2371899,Work
2404574,Work
2318683,Not Work
2330939,Work
2384608,Work
2344836,Work
2326999,Work
2410832,Work
2391428,Not Work
1159637,Work
2398701,Work
2370108,Not Work
2401476,Work
2383584,Work
2330718,Work
2338684,Work
2331755,Work
2361997,Work
2394377,Work
2404049,Work
2401302,Work
2349642,Work
2376116,Work
2386625,Work
2357225,Work
2322652,Work
2315937,Work
2369936,Work
2382984,Work
2415993,Work
1159680,Work
2320014,Work
2398214,Work
2416665,Not Work
150427,Work
498363,Work
2393181,Work
2329000,Work
2329147,Work
2335833,Work
2344815,Not Work
2395503,Work
2397859,Work
2415070,Work
2318623,Work
2355646,Work
2331105,Work
2410864,Work
2318746,Work
